breed,name,height,weight,life_exp,group,country,history,colors
yorkshire_terrier,Yorkshire Terrier,7-8 inches,7 pounds,11-15 years,Terriers,great britain,"The Yorkshire Terrier was developed during the mid-1800s in the northern English counties of Yorkshire and Lancashire. It became a fashionable lapdog for proper English ladies in late Victorian times, but its beginnings were distinctly working-class.The breed is said to be the creation of weavers from Scotland who migrated to the English north country and brought their Scottish terriers with them. (We pause here to make the distinction between Scottish terriers, that is, terriers of Scotland, and the particular breed designated as Scottish Terriers.)Several breeds of now-extinct Scottish terriers are a part of the Yorkie’s genetic mix, along with such still-extant terriers as the Skye and Dandie Dinmont. One historical source suggests the addition of Maltese blood.The Scots weavers were proud of their tough little terriers, bred small enough to squeeze into the nooks and crannies of textile mills in pursuit of rodents. Jokes were made about the Yorkie’s long, silky coat, inferring that its finely textured hair was a product of the looms. The Yorkie’s home region was a center of mining as well as textile making, and many Yorkies were employed in coal mines as exterminators.The turning point in breed history came in 1886, when the Kennel Club (England) granted the Yorkie recognition. With this splash of publicity, the Yorkie became fashionable as a ladies’ companion. And, as the Yorkie’s popularity among the fashionable increased, its size decreased to better meet its new job description: adorable, amusing companion sitting in the lap of luxury.Yorkies were first seen in America in the 1870s, and the AKC recorded its first Yorkie, a female named Belle, in 1885.","Black & Gold,Black & Tan,Blue & Gold,Blue & Tan"
pug,Pug,10-13 inches,14-18 pounds,13-15 years,Companion and Toy Dogs,china,"The Pug, often called the Pug Dog, is an ancient breed that can be traced back some 2,000 years. The emperors of ancient China had a preference for flat-faced toy dogs—the Pekingese, Shih Tzu, and Pug were all developed as refined pets of the emperor, his family, and members of the imperial court. Like many breeds favored by Far Eastern potentates of the ancient world, Pugs were a closely held treasure that outsiders could acquire only as a gift.The Pug’s career as citizen of the world began sometime in the 1500s, when Dutch traders returned to Europe with specimens of the breed. Legend holds that the Pug became the mascot of Holland’s royal House of Orange when a Pug save the life of the Prince of Orange by barking to warn the prince of an attack on his camp by Spanish troops. When William and Mary of Orange arrived in England to assume the monarchy, their Pugs accompanied them and began a craze for the breed among the British.The worldwide fascination with Pugs can be gauged by how many names the breed has had in various eras and places: Lo-sze (China), Mopsi (Finland), Doguillo (Spain) are just a few. Among the Dutch, still closely associated with Pugs, they are known as Mophonds.Theories abound as to the origin of the name Pug. One suggests that Pug is based on the Latin word “pugnus,” meaning “fist”—the idea being that the dog’s face resembles a clenched fist.","Black,Fawn"
norwegian_elkhound,Norwegian Elkhound,"20.5 inches (male), 19.5 inches (female)","55 pounds (male), 48 pounds (female)",12-15 years,Spitz and primitive types,norway,"Shipmate of the Vikings, guardian of remote farms, herder of flocks and defender from wolves and bear, a sometime hauler and a hunter always, and a companion to restless wandering men, the Norwegian Elkhound has survived more than six millennia with all his Nordic traits intact, a fearless and friendly dog, devoted to humankind.The Elkhound looms in Norse history and myth. We read of him in the epic sagas of ancient times, we find his remains aside his Viking master along with the Viking’s sword and shield, proof of the high regard in which he was held; and in the Viste Cave at Jaeren, in western Norway, his skeleton was found among the stone tools in stratum dating from 4000 to 5000 b.c. Among the many oft-told tales associated with the breed is one from the 12th century, in which an Elkhound was named king in the land of Throndhjem.The name Elkhound acknowledges the breed’s age-old quarry, the giant elk, or moose. Elkhounds specialized in following the scent trail of these magnificent and dangerous creatures over a distance and holding them at bay while dodging attack until the trailing huntsmen arrived. Elkhounds look nothing like the droopy-eared, sleek-coated scenthounds developed in warmer climes, but they are classified as hounds by virtue of their job description: trailing and holding warm-blooded quarry.","Black & Gray,Black & Silver,Black White & Silver,Gray & Black,Gray Black & Silver,Silver & Black,Silver Gray & Black"
bloodhound,Bloodhound,"25-27 inches (male), 23-25 inches (female)","90-110 pounds (male), 80-100 pounds (female)",10-12 years,Scent hounds and related breeds,belgium,"There is little known about Bloodhound origins, but some authorities say the breed was known around the ancient Mediterranean. In his “Historia Animalium,” the third-century scholar Aelian mentions a hound of unrivaled scenting powers, so intensely devoted to his work that he could not be pulled off the trail until his quarry was found. The Bloodhound, then, appears to be oldest extant hound that hunts by scent and is a contributor to the development of subsequent hound breeds, such as the Black and Tan Coonhound and the other coonhound varieties.Bloodhounds as we know them were perfected in Western Europe about a thousand years ago. Credit for the careful development of the breed goes to high-ranking members of the pre-Reformation church. In medieval times, when even bishops rode to hounds, many prominent princes of the church maintained packs of hounds on the grounds of the well-funded monasteries of England and France. So careful were the monks charged with executing the bishop’s breeding program that their hounds came to be known as “blooded hounds” —“blooded” meaning “of aristocratic blood.”During the centuries since, the noble Bloodhound has earned a reputation as a man-trailer without equal. Police departments around the world have relied on these muscular, single-minded hounds to follow the scent of humans—maybe a criminal, or a lost child, or a confused senior. An assignment might last all day and night, over hills and through swamps, but Bloodhounds won’t give up until they follow the trail to the end. Even in these days of high-technology, no scenting device yet invented is as accurate as the Bloodhound nose.","Black & Tan,Liver & Tan,Red"
bull_mastiff,Bull Mastiff,"25-27 inches (male), 24-26 inches (female)","110-130 pounds (male), 100-120 pounds (female)",7-9 years,Pinscher and Schnauzer,great britain,"The Bullmastiff’s nickname is “The Gamekeeper’s Night Dog,” and this pretty much sums up the breed’s early history.During the mid- to late 19th century, the vast country estates and game preserves of the English aristocracy were the irresistible targets of poachers. “Penalties were severe,” wrote a breed historian, “yet poaching seemed impossible to eradicate by mere laws.” Because a poacher might face the death penalty if captured, they had nothing to lose when encountering an estate’s gamekeeper. They might choose to shoot it out with the gamekeeper when cornered, rather than face the gallows.Gamekeepers responded by breeding dogs big, swift, and brave enough to pursue and pin a man prowling the grounds in the dead of night. Eventually they hit upon just the right combination of breeding stock by crossing Mastiffs to Bulldogs at a ratio of 60 percent Mastiff and 40 percent Bulldog. The new breed was smart enough to work on command, tractable enough to hold but not maul a poacher, a big enough to scare the bejesus out of any intruder.Inevitably, rivalries developed among Britain’s gamekeepers over who had the best-quality Bullmastiffs. Competitions and exhibitions of the best specimens were staged, and from there it was but a short leap for the Bullmastiff into the show ring. Dog shows in England were gaining in popularity just as Bullmastiff fanciers were standardizing their breed. By 1924, the Bullmastiff as we now know it was ready to join the ranks of the Kennel Club (England). The AKC granted the breed full recognition in 1933.","Fawn,Red"
old_english_sheepdog,Old English Sheepdog,"22 inches & up (male), 21 inches & up (female)",60-100 pounds,10-12 years,Sheepdogs and Cattledogs (except Swiss Cattledogs),great britain,"The Old English Sheepdog, like the Bulldog and Collie, stands among the truly iconic dogs of the British Isles. The “Bobtail,” as the breed is often known, was most likely developed in the west of England, in the counties of Devon and Somerset and the Duchy of Cornwall.The name Old English Sheepdog is something of a misnomer. As a creature of the late 1700s, the OES is not particularly old by canine standards. By blood, they aren’t fully English; possible OES component breeds include dogs of Scotch, European, and Russian ancestry. And, technically, they aren’t even sheepdogs: OES were employed primarily as drovers who moved cattle over dusty country roads, from the pasture to town markets. In Germany, around the same time, the Rottweiler was building a similar reputation as a “butcher’s dog.” In some pastures, shepherds would shear the OES blue-gray and white coat once a year and use the clippings to make yarn for clothing.With their full coat, free and powerful gait, and warm personality, OES show well in the ring. They were present at the sport’s very beginnings. Stockmen have been exhibiting their OES in England since 1865. The AKC registered its first OES in 1888, and in 1914 the breed made its debut appearance in the winner’s circle at Westminster Kennel Club.Their looks and intelligence make OES natural actors, seen to good effect in Disney’s “The Shaggy Dog” and “The Shaggy D.A.” Among the most famous real-life OES was Paul McCartney’s Martha, who inspired the Beatles song “Martha My Dear.”","Blue & White,Blue Gray & White,Blue Merle & White,Gray & White,Grizzle & White,Black & White,Blue,Brown & White,Fawn & White,Gray,Grizzle,White"
labrador_retriever,Labrador Retriever,"22.5-24.5 inches (male), 21.5-23.5 inches (female)","65-80 pounds (male), 55-70 pounds (female)",10-12 years,Retrievers,great britain,"The Labrador Retriever is the traditional waterdog of Newfoundland, long employed as a duck retriever and fisherman’s mate. The breed began its steady climb to supreme popularity in the early 1800s, when Labs were spotted by English nobles visiting Canada. These sporting earls and lords returned to England with fine specimens of “Labrador dogs.” (Exactly how these dogs of Newfoundland became associated with Labrador is unclear, but the name stuck.) During the latter half of the 19th century, British breeders refined and standardized the breed.The physical and temperamental breed traits, so familiar today to millions of devotees around the world, recall the Lab’s original purpose. A short, dense, weather-resistant coat was preferred because during a Canadian winter longhaired retrievers would be encrusted with ice when coming out of the water. In its ancestral homeland, a Lab would be assigned to a fishing boat to retrieve the fish that came off the trawl. Accordingly, in addition to having natural instincts as a retriever, the dog required a coat suited to the icy waters of the North Atlantic.The Lab’s thick, tapering tail—an “otter tail,” it’s called— serves as a powerful rudder, constantly moving back and forth as the dog swims and aids the dog in turning. As for the breed’s characteristic temperament, it is as much a hallmark of the breed as the otter tail. “The ideal disposition is one of a kindly, outgoing, tractable nature; eager to please and nonagressive towards man or animal,” the breed standard says. “The Labrador has much that appeals to people; his gentle ways, intelligence and adaptability make him an ideal dog.” When defining a Lab’s primary attributes, the most important might be temperament since his utility depends on his disposition. “If a dog does not possess true breed temperament,” wrote a noted dog judge, “he is not a Labrador.”The Kennel Club (England) recognized the Lab in 1903, and the AKC registered its first dog of the breed in 1917. Labs topped AKC registrations for the first time in 1991 and has reigned as America’s favorite breed ever since.","Black,Chocolate,Yellow"
saluki,Saluki,"23-28 inches (male), considerably smaller (female)",40-65 pounds,10-17 years,Sighthounds,middle east,"The Saluki is among the oldest dog breeds. Experts tell us Salukis might go as far back as 7000 b.c. Like other sighthounds, Salukis were special favorites of kings: Egyptian pharaohs, Alexander the Great, and on through history. The breed today is remarkably similar in shape and personality to its ancient ancestors. We can still marvel at the same sleek lines and natural dignity that thrilled royal families of the Middle East, Egypt, and Asia since before the Pyramids were built.","Black,Black & Silver,Black & Tan,Black Tan & White,Chocolate,Chocolate & Tan,Cream,Fawn,Golden,Red,Silver,White,Parti-Color,Sable"
giant_schnauzer,Giant Schnauzer,"25.5-27.5 inches (male), 23.5-25.5 inches (female)","60-85 pounds (male), 55-75 pounds (female)",12-15 years,Pinscher and Schnauzer,germany,"The Giant Schnauzer was developed in the Bavarian Alps sometime in the mid-1800s. These rugged working dogs, bred up from the Standard Schnauzer, were used to drive cattle from farm to market.They also served as formidable guard dogs for farmers, merchants, and innkeepers. After railroads rendered cattle drives obsolete, Giants found work as European police and military K-9s. In America, Giants gained renown as eye-catching show dogs, obedience champions, and courageous guardians of home and family.","Black,Pepper & Salt,Black & Tan,Fawn"
japanese_spaniel,Japanese Spaniel,8-11 inches,7-11 pounds,10-12 years,Companion and Toy Dogs,japan,"That’s a good question. Historians have long debated the breed’s beginnings. Some maintain it was a product of China; others say Korea. Various origin tales credit Buddhist monks, Chinese emperors, or European merchants with the Chin’s introduction to Japan anywhere from 500 to 1,000 years ago. But all agree that it was Japanese nobles who cultivated the breed as we know it today. Chin were unknown in the West until 1854, when Japan was reopened for trade after 200 years of isolation.","Black & White,Lemon & White,Sable & White,White & Black,Black White & Tan"
lhasa,Lhasa,"10-11 inches (male), slightly smaller (female)",12-18 pounds,12-15 years,Companion and Toy Dogs,tibet (china),"This thousand-year-old breed served as sentinel dogs at palaces and Buddhist monasteries isolated high in the Himalayan Mountains. For centuries Lhasas have been associated with the Dalai Lama. In the late 1940s, dogs bred and given as gifts by the Fourteenth Dalai Lama helped establish the breed in America. In Tibetan folklore the country’s protector is the mythical Snow Lion, and Lhasas, the “bearded lion dogs,” are the Snow Lion’s earthly representatives. Lhasa is the name of Tibet’s sacred city; Apso means “longhaired dog.”","Black,Black & Tan,Cream,Golden,Grizzle,Red,White,Blue,Charcoal,Gray,Liver,Silver,Brindle,Parti-Color,Sable"
norfolk_terrier,Norfolk Terrier,9-10 inches,11-12 pounds,12-16 years,Terriers,great britain,"Frank “Roughrider” Jones, an English dog breeder and horseman of the early 20th century, developed little red terriers as ratters and fox bolters. In the beginning, the Norwich (ears up) and Norfolk (ears down) were considered one breed. In England and North America both dogs were first classified as Norwich Terriers, sometimes called Jones Terriers.Over time, the two types diverged. In 1964, after much debate among fanciers, the Kennel Club (England) recognized the Norfolk as a distinct breed. But, as a British authority of the time explained, “Actually, there is nothing new about the Norfolk Terrier, but simply the name under which it is registered. The Eastern counties have always produced these principally wheaten, red, and otherwise black-and-tan or grizzle good-ribbed short-legged terriers. … They go to ground readily and are famous ratters.” The Canadian Kennel Club officially accepted the Norfolk and Norwich as separate breeds in 1977, as did the AKC two years later.The names of both breeds refer to their place of origin, the East Anglia town of Norwich in the county of Norfolk that lies just north of London. Among the older terrier breeds thought to factor into the fearless and fun-loving Norfolk’s development include the Border, Cairn, and Glen of Imaal terriers.","Black & Tan,Grizzle,Red,Brown,Wheaten"
papillon,Papillon,8-11 inches,5-10 pounds,14-16 years,Companion and Toy,France,"Papillons were originally bred as charming and attentive companions for noblewomen, and for hundreds of years these enchanting lap warmers were great favorites in the royal courts of Europe. They appear in many portraits of long-ago queens and princesses painted by Europe’s most renowned artists. Rubens, Rembrandt, Goya, and Toulouse-Lautrec are among the masters who included Papillons in their paintings. Paps were developed in Renaissance times by crossing existing toy breeds with spaniels (the breed’s early ancestors were known as “dwarf spaniels”) in keeping with the era’s mania among nobles for miniaturized versions of their favorite breeds. The sporting-spaniel blood in the Pap’s background might explain why these dainty dynamos are among the more athletic and biddable toy dogs in the canine kingdom. With admirers like Madame de Pompadour, Louis XIV, and Marie Antoinette (whose Pap, named Thisbe, stood faithfully outside the prison where the hapless queen awaited beheading), the breed’s French connection is strong. But it was in the early breeding centers of Italy and Spain that Paps were refined and popularized. The AKC registered its first Papillon in 1915.","White & Black,White & Lemon,White & Red,White & Sable,White Black & Tan,Black Brown & White,Black Red & White,Brown & White,Fawn & White,Red,Red White & Sable,Sable,White,White & Liver,White & Silver,Sable"
irish_terrier,Irish Terrier,18 inches,"27 pounds (male), 25 pounds (female)",13-15 years,Terriers,ireland,"For hundreds of years the Irish Terrier has been a fixture of rural Ireland—the very model of an all-purpose farm dog. A tenacious ratter, of course, but a dog with this much spirit and cleverness can’t be contained by a single job description. ITs have earned their feed as watchdogs, flock and family guardians, and hunting companions on land and lake. The breed’s type as we know it was set sometime in the 1870s, and ITs joined the AKC in 1885.","Red,Wheaten"
brabancon_griffon,Brabancon Griffon,7-10 inches,8-10 pounds,12-15 years,Scent hounds and related breeds,france,"Griffon-type dogs were well known in Europe for centuries. In Van Eyck’s celebrated 1434 portrait of the “Arnolfini Couple,” we glimpse a distant ancestor of the Griff. It’s a small, griffon-type dog with a longer muzzle than today’s flatter-faced, pouty-lipped version.The Griff’s story, however, properly begins in Brussels, Belgium’s capital city, in the early 1800s. It was then that the Griff began his rise from rough-and-tumble rat dog to sophisticated laptop companion.The coachmen of Brussels commonly kept small terrier-type dogs to keep down the rat population in their stables. These were typically Affenpinscher-like dogs known as “griffons d’ecurie,” or “wire-coated stable dogs.” The hack drivers experimented with various crosses to improve their dogs.No written records of these breedings survive, but dog people have surmised that the Pug, English Toy Spaniels, an old Belgian breed called the Brabancon, and perhaps even Yorkshire Terrier, were all part of the genetic mix that produced the Brussels Griffon.The turning point of Griff history came in the 1870s, when the dog-loving Henrietta Maria, Queen of the Belgians, took a liking to the breed. With royal patronage, the Griff’s future was assured. They became all the rage among the queen’s courtiers, and kennel keepers of the upper classes further refined the breed, making the body smaller and the face more humanlike.The royal boost received by the breed led to international interest, and Griffs were exported to England and America. The AKC registered its first Griff in 1910. As is the case with so many European breeds, the two world wars decimated the Griff population. If not for the dedication of U.S. and British enthusiasts, the breed might not have survived.The Brussels Griffon won millions of new fans in 1997, when a spicy Griff named Jill upstaged Jack Nicholson in the hit movie “As Good As It Gets.”","Belge,Black,Black & Tan,Red,Blue,Brown,Chocolate,Tan,Wheaten"
irish_wolfhound,Irish Wolfhound,"32 inches minimum (male), 30 inches minimum (female)","120 pounds (male), 105 pounds (female)",6-8 years,Sighthounds,ireland,"The Wolfhound’s long history goes back to antiquity and over the centuries has acquired a patina of myth and legend. It can be reliably stated, however, that they were created by breeding the indigenous large dogs of Britain to the Middle Eastern coursing hounds that were bartered around the known world in the earliest days of international trade.By the time the Roman Empire had gained a toehold in the British Isles, the giant hounds of Ireland were already long established. In the year 391 the Roman consul received a gift of seven of these hounds that “all Rome viewed with wonder.” These majestic hunters, whose motto was “Gentle when stroked, fierce when provoked,” were used on such quarry as the now-extinct Irish elk, a massive, ferocious beast said to stand six feet at the shoulder.In 15th-century Ireland, wolves were overrunning the countryside. The Irish hounds, already renowned big-game hunters, began to specialize on wolves. By the late 1700s, when wolves and other big-game animals of Ireland were hunted to extinction, IWs lost their job and nearly went extinct themselves. This was a case of a breed doing its job too well for its own good.In 1862, British army captain George Augustus Graham began scouring the country for remaining specimens of Ireland’s national hound. Graham made it his life’s work to protect, standardize, and promote the breed, and today his name is still spoken with reverence wherever IW fanciers gather.Among the many Irish legends inspired by the breed is the melancholy tale of loyalty and remorse “Gelert, the Faithful Hound.”","Black,Blue,Brindle,Cream,Gray,Gray & Brindle,Red,Red & Brindle,Silver,Wheaten,Wheaten & Brindle,White"
boxer,Boxer,"23-25 inches (male), 21.5-23.5 inches (female)","65-80 pounds (male), females are about 15 pounds less than male",10-12 years,Pinscher and Schnauzer,germany,"The Boxer’s ancestors, the war dogs of the Assyrian empire, go back as far as 2,500 B.C. But what we think of today as a Boxer can be traced to Germany of the late 1800s and early 20th century. The breed is thought to have been bred down by German dog fanciers from a larger, heavier German breed called the Bullenbeisser (“bull biter”).In medieval times the Bullenbeisser was Germany’s premier big-game hunter, used by noblemen to run down, catch, and hold such formidable opponents as bear, bison, and wild boar on vast ducal estates. By the early 1800s, the political situation in the German states was changing. German nobles were out of favor. Their estates were broken up, and the cherished tradition of lavishly appointed boar hunts came to an end. By 1865, the mighty Bullenbeisser was out of a job.Through judicious crosses to a smaller, mastiff-type breed from England, the obsolete big-game hunter gained a new lease on life. By the late 1800s, the modern Boxer—a sleeker, more elegant dog—had come into focus. (The English name Boxer refers to the way the breed spars, like a prizefighter, with their front paws when playing or defending themselves.)Over the years, Boxers have done many jobs: athlete, cattle dog, police dog, war dog (in both world wars), watchdog, protection dog, and guide dog for the blind. The AKC registered its first Boxer in 1904, but the breed’s U.S. heyday began in the 1950s, when a Westminster-winning Boxer named Bang Away became a national celebrity. Since that time, Boxers have reigned as one of America’s top 10 most popular breeds.","Brindle,Fawn,White"
malinois,Malinois,"24-26 inches (male), 22-24 inches (female)","60-80 pounds (male), 40-60 pounds (female)",14-16 years,Sheepdogs and Cattledogs (except Swiss Cattledogs),belgium,"The Belgian Malinois (MAL-in-wah), first bred around the city of Malines in the northwestern region of Belgium, are one of four closely related breeds of Belgian herding dogs. In some countries, the Malinois is classified together with the Tervuren, Laekenois, and Belgian Shepherd (aka Groenendael) as a single breed collectively known as the Belgian Sheepdog. In America, the Malinois has been registered as a separate breed since 1959. He bears a passing resemblance to the German Shepherd Dog but has a different head, and is leggier and finer boned, than his better-known German counterpart.Mals have long been acknowledged as a peerless livestock herder in their native land. They were first bred by serious dog people who were primarily concerned with producing dogs of sterling working character and who spurned passing fads and fancies of pet owners. This emphasis on performance made the Mal the go-to dog for Belgian sheepherders and cattlemen.It was in 1911 that Mals were first brought to America. They flourished here until the outbreak of World War II put an end to the importation of European breeding stock. The breed languished in the postwar years until the early 1960s, when the Mal’s admirers began the process of replenishing its American population.Mals are still prized as herders of all kinds of stock, but their versatility and high work-drive have opened careers in many other occupations and activities. They are highly sought after as police and military K-9s. They have served with such distinction that the Fayetteville, North Carolina, memorial to military dogs features a life-size bronze of a Belgian Malinois.","Fawn,Mahogany,Red,Black,Brindle,Cream,Gray,Liver"
collie,Collie,"24-26 inches (male), 22-24 inches (female)","60-75 pounds (male), 50-65 pounds (female)",12-14 years,Sheepdogs and Cattledogs (except Swiss Cattledogs),great britain,"Queen Victoria’s deep and abiding love for the Scotland made a lasting impact on the Collie’s history. It was the dog-loving Victoria, during her many extended stays at Balmoral Castle on the Scottish Highlands, who popularized the local herding breed among her courtiers and subjects during the second half of the 19th century. Her enthusiasm for Collies began the breed’s ascent from humble shepherd dog to worldwide canine superstar.It is supposed that the Collie’s ancestors reached Scotland nearly 2,000 years before Victoria did, brought by the Romans during their conquest of Britain in the first century of the Common Era. Over several centuries, the Roman herding stock was interbred with local dogs. Sometime during this long unwritten history, we can surmise that a stouthearted sheepherding dog recognizable as the Collie came into focus. (A prevalent theory holds that the name Collie derives from the name of a particular strain of black-faced sheep called colleys.)The Collie enters the written record around 1800, and by the time Victoria “discovered” the Collie later in the century, the breed’s now familiar characteristics were set. In 20th-century America, author and dog breeder Albert Payson Terhune popularized the breed for generations of eager young readers, who thrilled at adventures of the Sunnybank Collies. In 1940, British author Eric Knight launched one of the great pop-culture franchises of all time with his novel Lassie Come-Home. Thanks to Knight’s books, spin-off movies, and a long-running TV show, Lassie made Collies the ideal canine companion of every child’s fantasy.","Black White & Tan,Blue Merle & White,Blue Merle White & Tan,Sable,Sable & White,Sable Merle & White,White,Black & Tan Markings,Sable"
standard_schnauzer,Standard Schnauzer,"18.5-19.5 inches (male), 17.5-18.5 inches (female)","35-50 pounds (male), 30-45 pounds (female)",13-16 years,Pinscher and Schnauzer,germany,"The Standard is the original Schnauzer, progenitor of the Miniature and the Giant. In Germany, the Standard Schnauzer is known as the Mittelschnauzer (“medium Schnauzer”).During the long centuries before mechanized agriculture, the world’s farmers strove to breed versatile dogs to use as all-purpose helpers. The farmers of different regions found diverse solutions to the same challenge, resulting in such varied breeds as the Kerry Blue Terrier (Ireland), Rat Terrier (United States), and Belgian Tervuren. Germany’s entry in the quest for an ideal farm dog was the breed that would come to be known as the Schnauzer.A creation of the Middle Ages, the breed came of age in the verdant farm country of Bavaria. Like the world’s other barn-and-stable breeds, multitasking Schnauzers made their bones as ratters, herders, guardians, and hunters. Standards bear a superficial resemblance to several terrier breeds of Britain, but the breed is a product of Continental herders and working dogs.During the birth of Europe’s organized show scene in the 1870s, the “Wire-haired Pinscher” proved to be a dashing show dog. By the turn of the century, fanciers began exhibiting the breed as the Schnauzer (“whiskered snout”). Schnauzers were in America since at least 1900, but it took until the ’20s before they clicked with pet owners. In 1933, the Schnauzer’s AKC parent club divided into separate clubs for the Standard and Miniature breeds.","Black,Pepper & Salt"
german_shepherd,German Shepherd,"24-26 inches (male), 22-24 inches (female)","65-90 pounds (male), 50-70 pounds (female)",7-10 years,Sheepdogs and Cattledogs (except Swiss Cattledogs),germany,"The German Shepherd Dog (Deutshe Schäferhund) descends from the family of German herding dogs that, until the late 19th century, varied in type from district to district.In the waning years of the 1800s, a German cavalry officer, Captain Max von Stephanitz, made it his mission to develop the ideal German herder. Von Stephanitz and like-minded breeders crossed various strains from the northern and central districts of Germany, resulting in the ancestors of today’s German Shepherd Dog (GSD).Von Stephanitz co-founded the world’s first club devoted to GSDs and spent 35 years promoting and refining the breed. Today, the GSD’s versatility is so thoroughly deployed in the performance of myriad tasks that it is easy to forget that the breed was originally created to herd sheep. The GSD’s now-famous qualities—intelligence, agility, speed, stealth, and the overall air of firm authority—were forged not in the police academy but in the sheep pasture.GSDs became popular in the United States in the early 1900s, thanks in part to the adventures of canine movie stars Rin-Tin-Tin and Strongheart. The GSD is among those German breeds, the Dachshund is another, that suffered from anti-German sentiment during and after the world wars. In World War I–era Britain, the breed was referred to as the Alsatian, a name many British dog lovers still prefer.With the rise of modern livestock management and the decline of herding as a canine occupation, von Stephanitz shrewdly promoted his breed as an ideal K-9 worker. The GSD is today the preferred dog for police and military units the world over.","Bi-Color,Black,Black & Cream,Black & Red,Black & Silver,Black & Tan,Blue,Gray,Liver,Sable,White"
beagle,Beagle,"13 inches & under, 13-15 inches","under 20 pounds (13 inches & under), 20-30 pounds (13-15 inches)",10-15 years,Scent hounds and related breeds,france,"The origins of this ancient breed have been the subject of conjecture for centuries. Even the breed name is a shrouded in mystery. Some experts say it derives from the Gaelic word beag (“little”), while others point to the French term for the sound hounds make while hunting: be’geule.There are reports of small pack-hounds employed to hunt rabbit and hare in England long before the Roman legions arrived in 55 B.C. An English authority called the Beagle the “foothound of our country, indigenous to the soil.” By the 1500s, most English gentlemen had packs of large hounds that tracked deer, and smaller hounds that tracked hares. The smaller, more compact hounds were ancestors of our modern Beagle.The phrase “foot hound” is vital to understanding the Beagle’s broad appeal for hunters in England, the Continent, and North America. Unlike larger pack hunters like foxhounds or Harriers, the Beagle could be hunted on foot—no horse was necessary. Those who couldn’t afford to feed and stable a mount, and ladies and gentlemen too old spend a hard day thundering across the countryside on horseback, could easily keep up with a pack of Beagles on foot.Beagles imports began arriving in America in the years after the Civil War, and their popularity among U.S. rabbit hunters was immediate. The AKC registered its first Beagle, named Blunder, in 1885. To this day, “beaglers” in woodsy areas of North America still swear by their breed’s great nose, musical voice, and enthusiastic approach to rabbit hunting.","Black & Tan,Black Red & White,Black Tan & Bluetick,Black Tan & White,Black White & Tan,Blue Tan & White,Brown & White,Brown White & Tan,Lemon & White,Red & White,Tan & White,Black,Black & White,Black Fawn & White,Black Tan & Redtick,Blue,Blue & White,Brown,Lemon,Red,Red & Black,Red Black & White,Tan,White,White Black & Tan,Ticked,Spotted"
english_setter,English Setter,"25-27 inches (male), 23-25 inches (female)","65-80 pounds (male), 45-55 pounds (female)",12 years,Pointing Dogs,great britain,"The English Setter’s history goes back some 400-500 years. Early authorities say the breed precedes the Pointer in development. Evidence in sportsmen’s writings suggest the English Setter was originally produced from crosses of the Spanish pointer, the large water spaniel, and the Springer Spaniel.The Setter was developed to lay down quietly, or “set,” when they located game birds. This style of hunting at the time would then require the hunter to cast a net in the area, sometimes covering the dog as well, and flush and harvest the birds that were ensnared. This low-lying method was ideal for net hunting as a standing dog on point would be much more easily tangled in the net. Any breed that “set” was branded a setter, but ultimately, the Setting Spaniel’s keen nose and superiority in finding birds made it the best choice in the selective breeding that developed dogs for this particular purpose. In the 18th century, firearms replaced the nets and further selective breeding developed an upright point in Setters, the better to see the dog from a distance. The 19th century saw a divergence of Setters into different breeds, evolving based on their location and the terrain in which they hunted.Considerable credit for the development of the modern Setter goes to Edward Laverack of England, who, in 1825, obtained “Ponto” and “Old Moll,” products of a 35-year-old English Setter line. Another prominent figure in this breed’s development was R. LL. Purcell Llewellyn of Wales. Though he had bought his dogs from Laverack, Llewellyn’s focus was on field performance, unlike Laverack, who is mostly associated with the show Setter. Once the breed was exported to America in the 19th century, C.N. Myers of Blue Bar Kennels in Pennsylvania played a major role in the development of the English Setter in the states.","Blue Belton & Tan (Tri-Color),White"
